chr,start,end,2mo,9mo,18mo,gene_chr,gene_start,gene_end,gene_name,gene_type
chr18,65622728,65622776,0.67,0.59,0.43,chr18,65578230,65691443,Zfp532,protein_coding
chr18,65677638,65677643,0.81,0.7,0.61,chr18,65578230,65691443,Zfp532,protein_coding
chr18,65699414,65699448,0.56,0.5,0.36,chr18,65696268,65753601,Oacyl,protein_coding
chr18,65808596,65808612,0.59,0.46,0.34,chr18,65798549,65819665,Sec11c,protein_coding
chr18,65819564,65819569,0.82,0.69,0.55,chr18,65798549,65819665,Sec11c,protein_coding
chr18,65981075,65981104,0.89,0.77,0.64,chr18,65978754,66024580,Lman1,protein_coding
chr18,66085053,66085079,0.81,0.74,0.6,chr18,66043302,66304739,Ccbe1,protein_coding
chr18,67203416,67203451,0.75,0.55,0.5,chr18,67086336,67228792,Gnal,protein_coding
chr18,67301720,67301776,0.7,0.6,0.46,chr18,67287253,67321146,Impa2,protein_coding
chr18,67301839,67301865,0.82,0.68,0.54,chr18,67287253,67321146,Impa2,protein_coding
chr18,67549297,67549395,0.58,0.45,0.35,chr18,67486209,67554777,Spire1,protein_coding
chr18,67836864,67836867,0.47,0.66,0.76,chr18,67798107,67887168,Cep192,protein_coding
chr18,67973637,67973764,0.73,0.61,0.5,chr18,67931257,68257549,Ldlrad4,protein_coding
chr18,68162585,68162721,0.66,0.51,0.46,chr18,67931257,68257549,Ldlrad4,protein_coding
chr18,69021194,69021210,0.7,0.46,0.28,chr18,69020199,69024273,Mir145b,miRNA
chr18,69379869,69379895,0.33,0.47,0.54,chr18,69342146,69689967,Tcf4,protein_coding
chr18,74612870,74613025,0.67,0.57,0.44,chr18,74438936,74773493,Myo5b,protein_coding
chr18,74714887,74714956,0.64,0.58,0.4,chr18,74438936,74773493,Myo5b,protein_coding
chr18,74804450,74804456,0.28,0.49,0.39,chr18,74777197,74808207,Acaa2,protein_coding
chr18,74946711,74946733,0.8,0.68,0.59,chr18,74937322,74963263,Lipg,protein_coding
chr18,75251813,75251883,0.23,0.43,0.32,chr18,75016772,75288966,Dym,protein_coding
chr18,75289929,75289944,0.68,0.67,0.48,chr18,75286655,75299329,2010010A06Rik,transcribed_processed_pseudogene
chr18,75569650,75569663,0.69,0.57,0.32,chr18,75429224,75699696,Ctif,protein_coding
chr18,75664993,75665034,0.7,0.53,0.45,chr18,75429224,75699696,Ctif,protein_coding
chr18,75909196,75909222,0.39,0.24,0.18,chr18,75818178,76150561,Zbtb7c,protein_coding
chr18,75960601,75960723,0.68,0.54,0.45,chr18,75818178,76150561,Zbtb7c,protein_coding
chr18,76876690,76876723,0.59,0.55,0.34,chr18,76854405,76902342,Skor2,protein_coding
chr18,76963770,76963789,0.72,0.6,0.48,chr18,76928126,76974902,Hdhd2,protein_coding
chr18,77121764,77121769,0.72,0.5,0.57,chr18,77063208,77157708,Pias2,protein_coding
chr18,77285224,77285326,0.68,0.5,0.4,chr18,77279958,77444341,Loxhd1,protein_coding
chr18,77285448,77285461,0.64,0.46,0.34,chr18,77279958,77444341,Loxhd1,protein_coding
chr18,77313589,77313598,0.77,0.71,0.52,chr18,77279958,77444341,Loxhd1,protein_coding
chr18,77397218,77397299,0.43,0.27,0.22,chr18,77279958,77444341,Loxhd1,protein_coding
chr18,77505036,77505340,0.53,0.32,0.28,chr18,77454110,77567147,Rnf165,protein_coding
chr18,77796293,77796299,0.34,0.26,0.13,chr18,77791259,77798743,F830208F22Rik,processed_transcript
chr18,77796293,77796299,0.34,0.26,0.13,chr18,77792545,77884007,Pstpip2,protein_coding
chr18,78008393,78008403,0.67,0.63,0.47,chr18,77936467,78037027,Epg5,protein_coding
chr18,78053798,78053859,0.79,0.72,0.56,chr18,78041614,78059395,Siglec15,protein_coding
chr18,78761139,78761215,0.55,0.45,0.31,chr18,78748380,79111391,Setbp1,protein_coding
chr18,78761139,78761215,0.55,0.45,0.31,chr18,78753215,79089015,Setbp1,protein_coding
chr18,78907549,78907579,0.56,0.42,0.32,chr18,78748380,79111391,Setbp1,protein_coding
chr18,78907549,78907579,0.56,0.42,0.32,chr18,78753215,79089015,Setbp1,protein_coding
chr18,79002283,79002386,0.27,0.49,0.38,chr18,78748380,79111391,Setbp1,protein_coding
chr18,79002283,79002386,0.27,0.49,0.38,chr18,78753215,79089015,Setbp1,protein_coding
chr18,79064070,79064261,0.66,0.48,0.37,chr18,78748380,79111391,Setbp1,protein_coding
chr18,79064070,79064261,0.66,0.48,0.37,chr18,78753215,79089015,Setbp1,protein_coding
chr18,80282611,80282625,0.55,0.46,0.32,chr18,80251292,80294725,Pqlc1,protein_coding
chr18,80466431,80466498,0.35,0.29,0.13,chr18,80405959,80471695,Ctdp1,protein_coding
chr18,80619696,80619801,0.76,0.69,0.56,chr18,80604205,80715071,Nfatc1,protein_coding
chr18,80735473,80735499,0.59,0.47,0.39,chr18,80732143,80936058,Atp9b,protein_coding
chr18,82391151,82391444,0.77,0.66,0.55,chr18,82390496,82408777,Galr1,protein_coding
chr18,82485241,82485253,0.52,0.39,0.25,chr18,82473146,82587637,Mbp,protein_coding
chr18,82547329,82547584,0.6,0.49,0.36,chr18,82473146,82587637,Mbp,protein_coding
chr18,82553253,82553304,0.45,0.26,0.24,chr18,82473146,82587637,Mbp,protein_coding
chr18,82565642,82565738,0.77,0.56,0.52,chr18,82473146,82587637,Mbp,protein_coding
chr18,82575420,82575573,0.4,0.2,0.17,chr18,82473146,82587637,Mbp,protein_coding
chr18,82672683,82672718,0.6,0.47,0.38,chr18,82591593,82694883,Zfp236,protein_coding
chr18,84073992,84074013,0.6,0.47,0.39,chr18,84009627,84088404,Tshz1,protein_coding
chr18,84098237,84098318,0.47,0.29,0.27,chr18,84086158,84099514,Zadh2,protein_coding
chr18,84234041,84234075,0.69,0.57,0.49,chr18,84126027,84591725,Zfp407,protein_coding
chr18,84273375,84273403,0.59,0.44,0.33,chr18,84126027,84591725,Zfp407,protein_coding
chr18,84425094,84425282,0.82,0.71,0.58,chr18,84126027,84591725,Zfp407,protein_coding
chr18,86420946,86421169,0.46,0.37,0.23,chr18,86392952,86503897,Neto1,protein_coding
chr18,88845772,88845873,0.45,0.3,0.23,chr18,88663224,88929481,Socs6,protein_coding
chr19,3269892,3269918,0.57,0.45,0.34,chr19,3258924,3285017,Ighmbp2,protein_coding
chr19,3815318,3815500,0.67,0.51,0.41,chr19,3765421,3820303,Suv420h1,protein_coding
chr19,3815318,3815500,0.67,0.51,0.41,chr19,3796615,3854419,Gm16066,processed_transcript
chr19,4315290,4315332,0.4,0.32,0.2,chr19,4312419,4400285,Kdm2a,protein_coding
chr19,4455059,4455142,0.62,0.4,0.3,chr19,4443908,4479447,Syt12,protein_coding
chr19,4455244,4455499,0.5,0.35,0.26,chr19,4443908,4479447,Syt12,protein_coding
chr19,4465051,4465069,0.78,0.58,0.45,chr19,4443908,4479447,Syt12,protein_coding
chr19,4623999,4624014,0.57,0.42,0.35,chr19,4620551,4627617,Rce1,protein_coding
chr19,4623999,4624014,0.57,0.42,0.35,chr19,4621898,4625955,Mir6986,miRNA
chr19,4623999,4624014,0.57,0.42,0.35,chr19,4623841,4700668,Gm960,protein_coding
chr19,4646545,4646588,0.58,0.39,0.29,chr19,4623841,4700668,Gm960,protein_coding
chr19,4741683,4741729,0.64,0.48,0.42,chr19,4740913,4813612,Gm21992,protein_coding
chr19,4741683,4741729,0.64,0.48,0.42,chr19,4709208,4754353,Sptbn2,protein_coding
chr19,4744206,4744321,0.57,0.31,0.18,chr19,4740913,4813612,Gm21992,protein_coding
chr19,4744206,4744321,0.57,0.31,0.18,chr19,4709208,4754353,Sptbn2,protein_coding
chr19,4859168,4859510,0.6,0.41,0.31,chr19,4853129,4862912,Ctsf,protein_coding
chr19,4859168,4859510,0.6,0.41,0.31,chr19,4859223,4879909,Actn3,protein_coding
chr19,5162060,5162171,0.72,0.49,0.38,chr19,5131688,5275119,Pacs1,protein_coding
chr19,5743572,5743679,0.55,0.39,0.27,chr19,5738904,5760532,Ltbp3,protein_coding
chr19,5877947,5877970,0.83,0.68,0.59,chr19,5875808,5887766,Slc25a45,protein_coding
chr19,7018274,7018293,0.53,0.47,0.32,chr19,6996958,7021469,Fermt3,protein_coding
chr19,7029686,7029828,0.45,0.26,0.21,chr19,7018696,7042026,Stip1,protein_coding
chr19,7200220,7200228,0.59,0.43,0.37,chr19,7196202,7208316,Otub1,protein_coding
chr19,7421292,7421323,0.3,0.51,0.51,chr19,7415625,7427904,2700081O15Rik,protein_coding
chr19,7421292,7421323,0.3,0.51,0.51,chr19,7420573,7424642,Mir6991,miRNA
chr19,8803468,8803672,0.7,0.51,0.43,chr19,8800530,8806854,Zbtb3,protein_coding
chr19,10228981,10229093,0.67,0.57,0.43,chr19,10206272,10242748,Myrf,protein_coding
chr19,10603713,10603726,0.68,0.6,0.45,chr19,10590200,10606258,Dak,protein_coding
chr19,10603713,10603726,0.68,0.6,0.45,chr19,10603625,10631813,Ddb1,protein_coding
chr19,10781938,10781941,0.64,0.42,0.29,chr19,10738947,10788043,A430093F15Rik,protein_coding
chr19,12575022,12575421,0.52,0.35,0.28,chr19,12543740,12591768,Fam111a,protein_coding
chr19,16162032,16162137,0.76,0.6,0.49,chr19,16130831,16389463,Gnaq,protein_coding
chr19,16301680,16301709,0.5,0.38,0.25,chr19,16130831,16389463,Gnaq,protein_coding
chr19,16378662,16378757,0.58,0.52,0.37,chr19,16130831,16389463,Gnaq,protein_coding
chr19,16562853,16562868,0.39,0.3,0.16,chr19,16433667,16612818,Gna14,protein_coding
chr19,17469273,17469463,0.82,0.67,0.51,chr19,17430832,17839632,Pcsk5,protein_coding
chr19,17469523,17469591,0.54,0.44,0.27,chr19,17430832,17839632,Pcsk5,protein_coding
chr19,17493886,17493893,0.57,0.44,0.34,chr19,17430832,17839632,Pcsk5,protein_coding
chr19,17662341,17662366,0.45,0.29,0.24,chr19,17430832,17839632,Pcsk5,protein_coding
chr19,17687158,17687271,0.46,0.31,0.22,chr19,17430832,17839632,Pcsk5,protein_coding
chr19,17812777,17813013,0.72,0.6,0.5,chr19,17430832,17839632,Pcsk5,protein_coding
chr19,21431661,21431671,0.55,0.32,0.24,chr19,21389307,21475445,Gda,protein_coding
chr19,22510504,22510606,0.71,0.61,0.43,chr19,22137119,22991884,Trpm3,protein_coding
chr19,22783879,22783960,0.69,0.49,0.41,chr19,22137119,22991884,Trpm3,protein_coding
chr19,22975493,22975559,0.86,0.71,0.64,chr19,22137119,22991884,Trpm3,protein_coding
chr19,23224585,23224627,0.63,0.55,0.37,chr19,23204441,23275897,Smc5,protein_coding
chr19,23866089,23866097,0.55,0.42,0.3,chr19,23756876,23951597,Apba1,protein_coding
chr19,24101425,24101485,0.62,0.57,0.42,chr19,24092523,24227026,Tjp2,protein_coding
chr19,24107753,24108081,0.55,0.37,0.31,chr19,24092523,24227026,Tjp2,protein_coding
chr19,24192752,24192759,0.78,0.66,0.58,chr19,24092523,24227026,Tjp2,protein_coding
chr19,24358429,24358468,0.61,0.54,0.41,chr19,24292794,24557872,Pip5k1b,protein_coding
chr19,24510448,24510466,0.54,0.47,0.33,chr19,24292794,24557872,Pip5k1b,protein_coding
chr19,24512170,24512189,0.76,0.6,0.39,chr19,24292794,24557872,Pip5k1b,protein_coding
chr19,26753491,26753548,0.56,0.44,0.35,chr19,26603115,26780321,Smarca2,protein_coding
chr19,26763486,26763513,0.69,0.34,0.3,chr19,26603115,26780321,Smarca2,protein_coding
chr19,28476126,28476197,0.66,0.52,0.39,chr19,28256851,28682077,Glis3,protein_coding
chr19,28488012,28488041,0.61,0.48,0.38,chr19,28256851,28682077,Glis3,protein_coding
chr19,29604161,29604218,0.7,0.53,0.49,chr19,29520282,29608829,Ric1,protein_coding
chr19,29701903,29701926,0.85,0.72,0.62,chr19,29695921,29710448,Mlana,protein_coding
chr19,30113410,30113425,0.85,0.77,0.65,chr19,30096449,30177418,Gldc,protein_coding
chr19,30872631,30872999,0.81,0.64,0.47,chr19,30565551,31767033,Prkg1,protein_coding
chr19,31042027,31042105,0.54,0.71,0.76,chr19,30565551,31767033,Prkg1,protein_coding
chr19,32181868,32181909,0.88,0.76,0.64,chr19,32120727,32391714,Sgms1,protein_coding
chr19,32196263,32196387,0.61,0.44,0.36,chr19,32120727,32391714,Sgms1,protein_coding
chr19,32506778,32506788,0.52,0.4,0.3,chr19,32483769,32517370,Minpp1,protein_coding
chr19,34494148,34494179,0.74,0.47,0.35,chr19,34490318,34529474,Lipa,protein_coding
chr19,36860567,36860792,0.72,0.62,0.48,chr19,36832232,36895477,Tnks2,protein_coding
chr19,37074875,37074890,0.55,0.45,0.3,chr19,37019291,37210601,Cpeb3,protein_coding
chr19,37557815,37557820,0.71,0.6,0.47,chr19,37548418,37685245,Exoc6,protein_coding
chr19,41599180,41599198,0.6,0.55,0.38,chr19,41598257,41745665,Slit1,protein_coding
chr19,41605966,41605996,0.8,0.61,0.52,chr19,41598257,41745665,Slit1,protein_coding
chr19,41621359,41621399,0.77,0.65,0.53,chr19,41598257,41745665,Slit1,protein_coding
chr19,41640617,41640709,0.57,0.4,0.31,chr19,41598257,41745665,Slit1,protein_coding
chr19,41713168,41713185,0.46,0.3,0.23,chr19,41598257,41745665,Slit1,protein_coding
chr19,41725291,41725515,0.22,0.42,0.4,chr19,41598257,41745665,Slit1,protein_coding
chr19,42248698,42248840,0.72,0.57,0.5,chr19,42245574,42272348,Golga7b,protein_coding
chr19,42309119,42309174,0.66,0.52,0.44,chr19,42281037,42433783,Crtac1,protein_coding
chr19,42331655,42331666,0.63,0.47,0.41,chr19,42281037,42433783,Crtac1,protein_coding
chr19,42402370,42402619,0.71,0.58,0.43,chr19,42281037,42433783,Crtac1,protein_coding
chr19,42413852,42413957,0.54,0.39,0.31,chr19,42281037,42433783,Crtac1,protein_coding
chr19,42578954,42578965,0.76,0.65,0.54,chr19,42516759,42594343,R3hcc1l,protein_coding
chr19,42770556,42770803,0.74,0.6,0.5,chr19,42753105,42781978,Hps1,protein_coding
chr19,42788342,42788404,0.59,0.47,0.38,chr19,42786947,43390311,Hpse2,protein_coding
chr19,43444620,43444632,0.48,0.43,0.25,chr19,43438436,43499212,Cnnm1,protein_coding
chr19,43667099,43667139,0.67,0.56,0.46,chr19,43661822,43676881,Slc25a28,protein_coding
chr19,44060237,44060415,0.59,0.41,0.32,chr19,44032944,44071785,Erlin1,protein_coding
chr19,44515496,44515611,0.56,0.65,0.77,chr19,44491472,44516273,Wnt8b,protein_coding
chr19,44515496,44515611,0.56,0.65,0.77,chr19,44514957,44547864,Sec31b,protein_coding
chr19,44824890,44824919,0.52,0.4,0.3,chr19,44754045,44839871,Pax2,protein_coding
chr19,45013928,45014024,0.42,0.29,0.17,chr19,45004558,45014762,Peo1,protein_coding
chr19,45013928,45014024,0.42,0.29,0.17,chr19,45013176,45029104,Lzts2,protein_coding
chr19,45055581,45055606,0.61,0.45,0.35,chr19,45045576,45058383,Sfxn3,protein_coding
chr19,45818173,45818176,0.52,0.43,0.32,chr19,45816144,46000488,9130011E15Rik,protein_coding
chr19,46367876,46367932,0.53,0.4,0.29,chr19,46339121,46377252,Tmem180,protein_coding
chr19,46368186,46368240,0.4,0.21,0.14,chr19,46339121,46377252,Tmem180,protein_coding
chr19,46368282,46368333,0.62,0.42,0.32,chr19,46339121,46377252,Tmem180,protein_coding
chr19,46620551,46620673,0.46,0.29,0.22,chr19,46597084,46659389,Wbp1l,protein_coding
chr19,46808132,46808170,0.66,0.6,0.45,chr19,46759596,46880795,Cnnm2,protein_coding
chr19,46901518,46901568,0.81,0.65,0.59,chr19,46884831,47017153,Nt5c2,protein_coding
chr19,46966887,46967039,0.72,0.54,0.48,chr19,46884831,47017153,Nt5c2,protein_coding
chr19,47129228,47129298,0.59,0.52,0.35,chr19,47088766,47133143,Pdcd11,protein_coding
chr19,47129228,47129298,0.59,0.52,0.35,chr19,47103353,47140294,Calhm2,protein_coding
chr19,47133355,47133386,0.77,0.56,0.44,chr19,47103353,47140294,Calhm2,protein_coding
chr19,47282991,47283023,0.66,0.53,0.4,chr19,47258174,47466411,Sh3pxd2a,protein_coding
chr19,47355879,47355957,0.7,0.58,0.49,chr19,47258174,47466411,Sh3pxd2a,protein_coding
chr19,47507532,47507805,0.33,0.18,0.12,chr19,47499033,47539507,Obfc1,protein_coding
chr19,47519034,47519046,0.44,0.64,0.57,chr19,47499033,47539507,Obfc1,protein_coding
chr19,47904854,47904870,0.51,0.67,0.71,chr19,47735561,47921299,Cfap43,protein_coding
chr19,48208121,48208354,0.52,0.41,0.29,chr19,48204025,48807505,Sorcs3,protein_coding
chr19,48259143,48259191,0.57,0.49,0.34,chr19,48204025,48807505,Sorcs3,protein_coding
chr19,48259454,48259466,0.43,0.31,0.17,chr19,48204025,48807505,Sorcs3,protein_coding
chr19,48295334,48295466,0.39,0.28,0.19,chr19,48204025,48807505,Sorcs3,protein_coding
chr19,48443639,48443770,0.67,0.51,0.43,chr19,48204025,48807505,Sorcs3,protein_coding
chr19,48571431,48571437,0.89,0.78,0.64,chr19,48204025,48807505,Sorcs3,protein_coding
chr19,49708660,49708704,0.74,0.66,0.52,chr19,49707794,49711872,Gm27935,miRNA
chr19,53243932,53243967,0.64,0.5,0.43,chr19,53138445,53249399,Add3,protein_coding
chr19,53244180,53244379,0.41,0.29,0.19,chr19,53138445,53249399,Add3,protein_coding
chr19,53244448,53244470,0.74,0.57,0.42,chr19,53138445,53249399,Add3,protein_coding
chr19,55069854,55069961,0.73,0.61,0.49,chr19,55067734,55101451,Gpam,protein_coding
chr19,55221220,55221287,0.67,0.48,0.44,chr19,55196297,55243236,Gucy2g,protein_coding
chr19,55337883,55337889,0.47,0.36,0.24,chr19,55314351,55628561,Vti1a,protein_coding
chr19,55542687,55542731,0.68,0.51,0.42,chr19,55314351,55628561,Vti1a,protein_coding
chr19,55561583,55561692,0.73,0.63,0.45,chr19,55314351,55628561,Vti1a,protein_coding
chr19,56573215,56573362,0.61,0.43,0.36,chr19,56546261,56600846,Nhlrc2,protein_coding
chr19,56756404,56756690,0.61,0.46,0.34,chr19,56752999,56757346,Gm6990,processed_pseudogene
chr19,56977963,56978112,0.49,0.37,0.26,chr19,56910361,57010228,Afap1l2,protein_coding
chr19,57138977,57139095,0.4,0.28,0.17,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57172230,57172322,0.57,0.44,0.34,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57192752,57192831,0.78,0.61,0.55,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57193503,57193564,0.54,0.37,0.25,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57201171,57201230,0.73,0.62,0.52,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57206514,57206529,0.6,0.75,0.81,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57275617,57275795,0.57,0.42,0.36,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57297703,57297725,0.35,0.24,0.13,chr19,57030733,57316919,Ablim1,protein_coding
chr19,57481440,57481583,0.59,0.4,0.37,chr19,57450906,57493005,Trub1,protein_coding
chr19,57745894,57745927,0.44,0.29,0.24,chr19,57609034,58135338,Atrnl1,protein_coding
chr19,57878040,57878111,0.44,0.31,0.22,chr19,57609034,58135338,Atrnl1,protein_coding
chr19,58066157,58066178,0.64,0.53,0.39,chr19,57609034,58135338,Atrnl1,protein_coding
chr19,58288552,58288575,0.51,0.39,0.27,chr19,58233604,58457909,Gfra1,protein_coding
chr19,58536551,58536584,0.52,0.43,0.31,chr19,58510002,58555085,Ccdc172,protein_coding
chr19,58623862,58623904,0.71,0.62,0.45,chr19,58604329,58631753,1810007D17Rik,lincRNA
chr19,59938630,59938969,0.35,0.56,0.43,chr19,59900884,59945654,Rab11fip2,protein_coding
chr19,60527023,60527060,0.47,0.38,0.25,chr19,60522696,60583023,Cacul1,protein_coding
chr19,60946893,60946991,0.43,0.24,0.19,chr19,60887749,61094553,Grk5,protein_coding
chr2,3178439,3178543,0.7,0.55,0.42,chr2,3112224,3229806,Fam171a1,protein_coding
chr2,4900022,4900036,0.49,0.31,0.26,chr2,4879564,4912557,Sephs1,protein_coding
chr2,5165869,5165913,0.56,0.43,0.33,chr2,5135749,5232864,Gm26776,lincRNA
chr2,5165869,5165913,0.56,0.43,0.33,chr2,5135776,5232878,Ccdc3,protein_coding
chr2,5388245,5388500,0.64,0.6,0.41,chr2,5291457,5716515,Camk1d,protein_coding
chr2,5445541,5445717,0.86,0.77,0.66,chr2,5291457,5716515,Camk1d,protein_coding
chr2,5469659,5469861,0.65,0.58,0.44,chr2,5291457,5716515,Camk1d,protein_coding
chr2,5471333,5471396,0.65,0.58,0.44,chr2,5291457,5716515,Camk1d,protein_coding
chr2,5553945,5554016,0.68,0.48,0.31,chr2,5291457,5716515,Camk1d,protein_coding
chr2,5644483,5644567,0.87,0.73,0.65,chr2,5291457,5716515,Camk1d,protein_coding
chr2,5894090,5894096,0.04,0.31,0.1,chr2,5868987,5897432,Sec61a2,protein_coding
chr2,5894090,5894096,0.04,0.31,0.1,chr2,5893510,5902131,Gm13267,antisense
chr2,6921572,6921656,0.71,0.64,0.5,chr2,6537694,7511563,Celf2,protein_coding
chr2,6951731,6951751,0.85,0.77,0.62,chr2,6948453,6953680,Gm10115,sense_intronic
chr2,6951731,6951751,0.85,0.77,0.62,chr2,6938625,6953061,RP23-245A10.4,TEC
chr2,6951731,6951751,0.85,0.77,0.62,chr2,6537694,7511563,Celf2,protein_coding
chr2,7013266,7013274,0.74,0.63,0.45,chr2,6537694,7511563,Celf2,protein_coding
chr2,7529742,7529785,0.41,0.25,0.19,chr2,7527939,7533307,Gm28641,lincRNA
chr2,7734820,7734832,0.63,0.51,0.42,chr2,7714151,7783408,Gm13211,lincRNA
chr2,11013385,11013401,0.69,0.57,0.49,chr2,11011808,11015918,RP23-147F6.6,TEC
chr2,11013385,11013401,0.69,0.57,0.49,chr2,11012762,11016890,Gm23877,snoRNA
chr2,11346565,11346602,0.77,0.64,0.55,chr2,11336366,11400501,RP23-247J17.2,lincRNA
chr2,11470774,11470903,0.6,0.46,0.33,chr2,11469433,11556077,Pfkfb3,protein_coding
chr2,11540831,11540972,0.7,0.52,0.44,chr2,11469433,11556077,Pfkfb3,protein_coding
chr2,13113366,13113496,0.25,0.45,0.36,chr2,13074821,13273415,Rsu1,protein_coding
chr2,13189307,13189574,0.53,0.35,0.26,chr2,13074821,13273415,Rsu1,protein_coding
chr2,13238124,13238207,0.66,0.57,0.43,chr2,13074821,13273415,Rsu1,protein_coding
chr2,13238124,13238207,0.66,0.57,0.43,chr2,13236939,13242627,RP23-336A16.3,TEC
chr2,16439483,16439546,0.29,0.52,0.35,chr2,16354304,16757839,Plxdc2,protein_coding
chr2,16507752,16507817,0.41,0.29,0.18,chr2,16354304,16757839,Plxdc2,protein_coding
chr2,17531401,17531419,0.5,0.26,0.12,chr2,17341909,17733464,Nebl,protein_coding
chr2,18841324,18841338,0.38,0.18,0.13,chr2,18840255,19000126,Pip4k2a,protein_coding
chr2,21555349,21555563,0.72,0.59,0.44,chr2,21365542,21832547,Gpr158,protein_coding
chr2,21665992,21666119,0.57,0.4,0.33,chr2,21365542,21832547,Gpr158,protein_coding
chr2,24350775,24350780,0.73,0.9,0.93,chr2,24334853,24353494,Il1rn,protein_coding
chr2,24707502,24707530,0.65,0.4,0.25,chr2,24601887,24765152,Cacna1b,protein_coding
chr2,25409177,25409181,0.84,0.74,0.62,chr2,25397351,25411494,Npdc1,protein_coding
chr2,25914365,25914537,0.63,0.49,0.42,chr2,25861795,25920273,Kcnt1,protein_coding
chr2,26056125,26056195,0.47,0.27,0.18,chr2,26053535,26125220,Nacc2,protein_coding
chr2,26060794,26060871,0.57,0.46,0.33,chr2,26057010,26062275,Gm13554,antisense
chr2,26060794,26060871,0.57,0.46,0.33,chr2,26053535,26125220,Nacc2,protein_coding
chr2,26061571,26061616,0.73,0.62,0.47,chr2,26057010,26062275,Gm13554,antisense
chr2,26061571,26061616,0.73,0.62,0.47,chr2,26053535,26125220,Nacc2,protein_coding
chr2,26067366,26067383,0.66,0.57,0.38,chr2,26053535,26125220,Nacc2,protein_coding
chr2,26358860,26358907,0.52,0.4,0.22,chr2,26350176,26362918,Card9,protein_coding
chr2,26358860,26358907,0.52,0.4,0.22,chr2,26350645,26373952,Gm13562,processed_transcript
chr2,26388003,26388049,0.57,0.31,0.18,chr2,26379526,26391018,Gm13563,antisense
chr2,26388003,26388049,0.57,0.31,0.18,chr2,26380802,26391316,Sdccag3,protein_coding
chr2,26388003,26388049,0.57,0.31,0.18,chr2,26387339,26399122,Pmpca,protein_coding
chr2,26398669,26398724,0.49,0.32,0.24,chr2,26387339,26399122,Pmpca,protein_coding
chr2,26398669,26398724,0.49,0.32,0.24,chr2,26394249,26411203,Inpp5e,protein_coding
chr2,27112862,27112869,0.68,0.51,0.47,chr2,27108380,27144491,Fam163b,protein_coding
chr2,27220275,27220339,0.68,0.64,0.46,chr2,27186393,27250337,Sardh,protein_coding
chr2,27220275,27220339,0.68,0.64,0.46,chr2,27187382,27236710,Sardhos,antisense
chr2,27224842,27224898,0.58,0.43,0.33,chr2,27186393,27250337,Sardh,protein_coding
chr2,27224842,27224898,0.58,0.43,0.33,chr2,27187382,27236710,Sardhos,antisense
chr2,27277941,27278092,0.83,0.68,0.62,chr2,27260104,27429033,Vav2,protein_coding
chr2,27693918,27693943,0.9,0.82,0.67,chr2,27674440,27764957,Rxra,protein_coding
chr2,28208160,28208186,0.43,0.27,0.17,chr2,28190992,28232736,Olfm1,protein_coding
chr2,28228550,28228560,0.41,0.26,0.2,chr2,28190992,28232736,Olfm1,protein_coding
chr2,28526904,28526934,0.51,0.35,0.3,chr2,28511125,28555081,Ralgds,protein_coding
chr2,28548473,28548486,0.54,0.38,0.22,chr2,28511125,28555081,Ralgds,protein_coding
chr2,29246768,29246895,0.36,0.19,0.15,chr2,29243107,29255006,6530402F18Rik,processed_transcript
chr2,29246768,29246895,0.36,0.19,0.15,chr2,29192541,29255005,Ntng2,protein_coding
chr2,29673290,29673398,0.46,0.32,0.23,chr2,29617720,29742978,Rapgef1,protein_coding
chr2,29702627,29702691,0.83,0.72,0.58,chr2,29617720,29742978,Rapgef1,protein_coding
chr2,29880678,29880685,0.74,0.57,0.47,chr2,29867164,29884840,Cercam,protein_coding
chr2,30103302,30103539,0.6,0.45,0.3,chr2,30095283,30126585,Zer1,protein_coding
chr2,30258737,30258777,0.78,0.67,0.58,chr2,30235715,30265790,Lrrc8a,protein_coding
chr2,30258737,30258777,0.78,0.67,0.58,chr2,30238567,30284148,Gm28035,protein_coding
chr2,30275670,30276074,0.68,0.46,0.29,chr2,30238567,30284148,Gm28035,protein_coding
chr2,30275670,30276074,0.68,0.46,0.29,chr2,30264203,30284149,Phyhd1,protein_coding
chr2,30323222,30323331,0.61,0.48,0.38,chr2,30284397,30346266,Nup188,protein_coding
chr2,30323222,30323331,0.61,0.48,0.38,chr2,30304067,30325986,Gm14471,processed_transcript
chr2,30867338,30867468,0.77,0.53,0.42,chr2,30832972,30883251,Prrx2,protein_coding
chr2,30920455,30920493,0.45,0.28,0.19,chr2,30887471,30931863,Ptges,protein_coding
chr2,31076452,31076611,0.38,0.25,0.16,chr2,31024206,31144008,Fnbp1,protein_coding
chr2,31093034,31093124,0.54,0.33,0.31,chr2,31024206,31144008,Fnbp1,protein_coding
chr2,31426172,31426202,0.28,0.48,0.37,chr2,31312415,31462738,Hmcn2,protein_coding
chr2,31614642,31614742,0.69,0.51,0.46,chr2,31570651,31619526,Fubp3,protein_coding
chr2,31797706,31797731,0.75,0.61,0.54,chr2,31686376,31806227,Abl1,protein_coding
